#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000430000000,-0.018551,-0.008030,0.480338,0.269160,0.026223,0.001208,-0.962738,-0.056444,-0.032528,0.071460
100000440000000,-0.019200,-0.008218,0.481066,0.259775,0.027417,0.001637,-0.965278,-0.061503,-0.034190,0.074647
100000450000000,-0.019886,-0.008443,0.481825,0.251965,0.028606,0.002105,-0.967311,-0.066783,-0.035948,0.077732
100000460000000,-0.020616,-0.008705,0.482614,0.245577,0.029784,0.002609,-0.968916,-0.072282,-0.037815,0.080716
100000470000000,-0.021393,-0.009002,0.483433,0.240459,0.030944,0.003147,-0.970161,-0.077994,-0.039801,0.083604
100000480000000,-0.022221,-0.009334,0.484280,0.236464,0.032080,0.003713,-0.971103,-0.083912,-0.041919,0.086397
100000490000000,-0.023104,-0.009702,0.485154,0.233448,0.033187,0.004305,-0.971793,-0.090030,-0.044176,0.089100
100000500000000,-0.024045,-0.010104,0.486056,0.231278,0.034259,0.004917,-0.972272,-0.096339,-0.046581,0.091714
100000510000000,-0.025048,-0.010542,0.486983,0.229830,0.035292,0.005545,-0.972575,-0.102830,-0.049142,0.094242
100000520000000,-0.026115,-0.011015,0.487935,0.228988,0.036281,0.006185,-0.972733,-0.109494,-0.051862,0.096688
100000530000000,-0.027248,-0.011523,0.488911,0.228650,0.037223,0.006830,-0.972773,-0.116319,-0.054746,0.099053
100000540000000,-0.028451,-0.012068,0.489912,0.228721,0.038114,0.007477,-0.972717,-0.123296,-0.057796,0.101341
100000550000000,-0.029725,-0.012650,0.490935,0.229119,0.038953,0.008120,-0.972585,-0.130413,-0.061012,0.103555
100000560000000,-0.031071,-0.013270,0.491980,0.229770,0.039737,0.008755,-0.972394,-0.137658,-0.064395,0.105698
100000570000000,-0.032493,-0.013929,0.493047,0.230612,0.040465,0.009376,-0.972159,-0.145021,-0.067940,0.107772
100000580000000,-0.033990,-0.014628,0.494135,0.231589,0.041137,0.009981,-0.971892,-0.152490,-0.071646,0.109780
100000590000000,-0.035564,-0.015368,0.495243,0.232655,0.041752,0.010564,-0.971605,-0.160054,-0.075506,0.111726
100000600000000,-0.037216,-0.016151,0.496371,0.233770,0.042311,0.011123,-0.971307,-0.167703,-0.079516,0.113612
100000610000000,-0.038948,-0.016976,0.497518,0.234904,0.042815,0.011654,-0.971005,-0.175427,-0.083668,0.115442
100000620000000,-0.040759,-0.017846,0.498683,0.236030,0.043263,0.012154,-0.970706,-0.183215,-0.087954,0.117218
100000630000000,-0.042651,-0.018762,0.499867,0.237126,0.043659,0.012622,-0.970415,-0.191058,-0.092366,0.118943
100000640000000,-0.044624,-0.019724,0.501067,0.238177,0.044002,0.013054,-0.970137,-0.198948,-0.096895,0.120622
100000650000000,-0.046678,-0.020733,0.502285,0.239171,0.044295,0.013451,-0.969873,-0.206876,-0.101531,0.122256
100000660000000,-0.048814,-0.021791,0.503520,0.240101,0.044540,0.013809,-0.969627,-0.214834,-0.106264,0.123848
100000670000000,-0.051031,-0.022899,0.504771,0.240959,0.044739,0.014130,-0.969401,-0.222815,-0.111086,0.125403
100000680000000,-0.053331,-0.024056,0.506037,0.241744,0.044893,0.014412,-0.969194,-0.230813,-0.115984,0.126923
100000690000000,-0.055712,-0.025264,0.507319,0.242455,0.045006,0.014656,-0.969007,-0.238820,-0.120950,0.128410
100000700000000,-0.058175,-0.026523,0.508617,0.243092,0.045079,0.014862,-0.968841,-0.246832,-0.125973,0.129868
100000710000000,-0.060720,-0.027834,0.509929,0.243658,0.045115,0.015029,-0.968695,-0.254843,-0.131044,0.131299
100000720000000,-0.063346,-0.029196,0.511255,0.244156,0.045116,0.015160,-0.968567,-0.262847,-0.136152,0.132707
100000730000000,-0.066054,-0.030611,0.512596,0.244590,0.045084,0.015255,-0.968458,-0.270842,-0.141289,0.134093
100000740000000,-0.068843,-0.032079,0.513952,0.244964,0.045021,0.015315,-0.968365,-0.278821,-0.146445,0.135461
100000750000000,-0.071712,-0.033599,0.515321,0.245282,0.044931,0.015342,-0.968288,-0.286782,-0.151612,0.136813
100000760000000,-0.074662,-0.035172,0.516703,0.245550,0.044814,0.015337,-0.968226,-0.294722,-0.156781,0.138151
100000770000000,-0.077692,-0.036797,0.518100,0.245772,0.044674,0.015302,-0.968177,-0.302637,-0.161945,0.139477
100000780000000,-0.080802,-0.038474,0.519510,0.245954,0.044511,0.015239,-0.968139,-0.310524,-0.167097,0.140793
100000790000000,-0.083992,-0.040204,0.520933,0.246100,0.044329,0.015150,-0.968112,-0.318381,-0.172230,0.142102
100000800000000,-0.087260,-0.041985,0.522370,0.246214,0.044129,0.015037,-0.968093,-0.326206,-0.177337,0.143406
