#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000600000000,-0.092514485,0.134781882,0.227260455,0.010877132,0.001097038,10.046019554
100000610000000,-0.089877844,0.122654229,0.230993152,0.012145221,-0.001979440,10.041483879
100000620000000,-0.086439937,0.110591456,0.229380220,0.013232827,-0.004174188,10.037103653
100000630000000,-0.082310349,0.098669857,0.223524421,0.014145017,-0.005625725,10.032885551
100000640000000,-0.077596620,0.086956359,0.214391932,0.014900863,-0.006454110,10.028836250
100000650000000,-0.072403476,0.075509593,0.202824652,0.015500247,-0.006782234,10.024964333
100000660000000,-0.066829816,0.064379089,0.189540893,0.015969634,-0.006701380,10.021263123
100000670000000,-0.060969524,0.053607583,0.175152048,0.016311884,-0.006304979,10.017743111
100000680000000,-0.054909859,0.043230657,0.160169974,0.016541660,-0.005669296,10.014398575
100000690000000,-0.048730984,0.033277687,0.145013034,0.016668618,-0.004864246,10.011239052
100000700000000,-0.042505957,0.023772297,0.130021483,0.016706705,-0.003938794,10.008258820
100000710000000,-0.036301367,0.014733590,0.115465984,0.016658783,-0.002949208,10.005451202
100000720000000,-0.030176148,0.006175550,0.101552099,0.016535282,-0.001938254,10.002832413
100000730000000,-0.024181798,-0.001892028,0.088430338,0.016344488,-0.000932872,10.000386238
100000740000000,-0.018363344,-0.009463240,0.076206587,0.016095400,0.000039428,9.998110771
100000750000000,-0.012759477,-0.016535483,0.064946115,0.015791714,0.000957668,9.996009827
100000760000000,-0.007402992,-0.023109620,0.054684684,0.015441954,0.001805723,9.994079590
100000770000000,-0.002320764,-0.029189326,0.045428801,0.015048862,0.002572209,9.992305756
100000780000000,0.002465637,-0.034781490,0.037163921,0.014630854,0.003249466,9.990693092
100000790000000,0.006939603,-0.039894074,0.029856117,0.014169812,0.003831029,9.989233017
100000800000000,0.011089141,-0.044539046,0.023462037,0.013703883,0.004322588,9.987911224
100000810000000,0.014905942,-0.048727889,0.017925484,0.013199985,0.004714400,9.986741066
100000820000000,0.018385902,-0.052476179,0.013186325,0.012693048,0.005017817,9.985702515
100000830000000,0.021527791,-0.055799507,0.009179575,0.012168467,0.005229920,9.984787941
100000840000000,0.024333889,-0.058716167,0.005838385,0.011656642,0.005367845,9.984011650
100000850000000,0.026807953,-0.061242625,0.003095422,0.011119366,0.005417734,9.983343124
100000860000000,0.028957283,-0.063399613,0.000885431,0.010601878,0.005405784,9.982785225
100000870000000,0.030790308,-0.065206327,-0.000855217,0.010080457,0.005325139,9.982342720
100000880000000,0.032317601,-0.066683501,-0.002186236,0.009563446,0.005186051,9.981992722
100000890000000,0.033551700,-0.067853078,-0.003165440,0.009067297,0.005002111,9.981737137
100000900000000,0.034505472,-0.068735853,-0.003844293,0.008591652,0.004779100,9.981567383
100000910000000,0.035192523,-0.069351807,-0.004270401,0.008107722,0.004508898,9.981483459
100000920000000,0.035628702,-0.069723837,-0.004488562,0.007663190,0.004218698,9.981469154
100000930000000,0.035829164,-0.069872141,-0.004536727,0.007237792,0.003906980,9.981538773
100000940000000,0.035809398,-0.069816269,-0.004450218,0.006816745,0.003568947,9.981664658
100000950000000,0.035586275,-0.069577724,-0.004258885,0.006429791,0.003225967,9.981862068
100000960000000,0.035176098,-0.069175929,-0.003990581,0.006059766,0.002872154,9.982106209
100000970000000,0.034595437,-0.068630382,-0.003666938,0.005720735,0.002519712,9.982394218
100000980000000,0.033860371,-0.067959279,-0.003307506,0.005406797,0.002170533,9.982731819
100000990000000,0.032986544,-0.067179501,-0.002928060,0.005104184,0.001819700,9.983110428
100001000000000,0.031990327,-0.066309258,-0.002542461,0.004839957,0.001483724,9.983523369
100001010000000,0.030886594,-0.065363795,-0.002162046,0.004595757,0.001156464,9.983962059
100001020000000,0.029690109,-0.064358227,-0.001794368,0.004383385,0.000847012,9.984432220
100001030000000,0.028414639,-0.063305750,-0.001446903,0.004184365,0.000547454,9.984921455
100001040000000,0.027073696,-0.062219661,-0.001123649,0.004014730,0.000266626,9.985429764
100001050000000,0.025679983,-0.061111670,-0.000827669,0.003853500,-0.000000551,9.985946655
100001060000000,0.024246270,-0.059994441,-0.000561376,0.003718555,-0.000247955,9.986472130
100001070000000,0.022784345,-0.058879055,-0.000325309,0.003619611,-0.000470012,9.987010956
100001080000000,0.021304615,-0.057774000,-0.000120062,0.003535986,-0.000674263,9.987545013
100001090000000,0.019816661,-0.056687098,0.000055131,0.003453851,-0.000865996,9.988081932
100001100000000,0.018330498,-0.055627912,0.000202047,0.003401935,-0.001032278,9.988611221
100001110000000,0.016854640,-0.054603469,0.000321319,0.003377855,-0.001177952,9.989125252
100001120000000,0.015396466,-0.053618789,0.000414864,0.003361225,-0.001307398,9.989634514
100001130000000,0.013962903,-0.052679028,0.000485660,0.003351688,-0.001420096,9.990125656
100001140000000,0.012560546,-0.051789746,0.000535140,0.003365576,-0.001513645,9.990594864
100001150000000,0.011194951,-0.050954610,0.000565128,0.003398180,-0.001589537,9.991052628
100001160000000,0.009870716,-0.050175671,0.000578873,0.003432274,-0.001652211,9.991482735
100001170000000,0.008592190,-0.049455743,0.000578144,0.003482997,-0.001698673,9.991887093
100001180000000,0.007362902,-0.048796322,0.000565314,0.003533304,-0.001732677,9.992263794
100001190000000,0.006186034,-0.048199639,0.000542016,0.003600419,-0.001753330,9.992611885
100001200000000,0.005063980,-0.047666635,0.000510993,0.003681064,-0.001761258,9.992928505
100001210000000,0.003998574,-0.047196757,0.000473065,0.003757417,-0.001759812,9.993207932
100001220000000,0.002991295,-0.046790585,0.000430825,0.003832996,-0.001748592,9.993454933
100001230000000,0.002043203,-0.046449602,0.000384513,0.003938437,-0.001726970,9.993655205
100001240000000,0.001154738,-0.046171505,0.000335549,0.004038215,-0.001698777,9.993822098
100001250000000,0.000326038,-0.045955099,0.000285100,0.004132032,-0.001662746,9.993956566
100001260000000,-0.000443280,-0.045800246,0.000234120,0.004240394,-0.001620904,9.994038582
100001270000000,-0.001153855,-0.045705099,0.000184099,0.004358232,-0.001573652,9.994080544
100001280000000,-0.001806567,-0.045666665,0.000135496,0.004469395,-0.001522228,9.994073868
100001290000000,-0.002402547,-0.045682620,0.000088275,0.004575849,-0.001467019,9.994018555
100001300000000,-0.002943252,-0.045751531,0.000043357,0.004693151,-0.001408696,9.993925095
100001310000000,-0.003430404,-0.045870576,0.000001333,0.004805088,-0.001348302,9.993783951
100001320000000,-0.003865723,-0.046037473,-0.000037511,0.004911840,-0.001285121,9.993597984
100001330000000,-0.004251199,-0.046250638,-0.000074045,0.005030811,-0.001222700,9.993353844
100001340000000,-0.004588905,-0.046506673,-0.000106520,0.005128384,-0.001156181,9.993068695
100001350000000,-0.004881221,-0.046805002,-0.000135734,0.005253732,-0.001093239,9.992734909
100001360000000,-0.005130259,-0.047141373,-0.000161795,0.005357027,-0.001028240,9.992348671
100001370000000,-0.005338510,-0.047514126,-0.000184825,0.005472004,-0.000965804,9.991897583
100001380000000,-0.005508153,-0.047919832,-0.000205188,0.005565464,-0.000901848,9.991412163
100001390000000,-0.005641981,-0.048357926,-0.000222244,0.005688071,-0.000842869,9.990877151
100001400000000,-0.005741953,-0.048823483,-0.000236825,0.005786359,-0.000782758,9.990290642
100001410000000,-0.005810622,-0.049314827,-0.000248897,0.005881727,-0.000724688,9.989645958
100001420000000,-0.005850350,-0.049829986,-0.000258556,0.005973458,-0.000668071,9.988951683
100001430000000,-0.005863663,-0.050367825,-0.000265755,0.006078064,-0.000615373,9.988211632
100001440000000,-0.005852736,-0.050925199,-0.000270636,0.006176353,-0.000564650,9.987418175
100001450000000,-0.005819579,-0.051499017,-0.000273319,0.006253958,-0.000513747,9.986576080
100001460000000,-0.005766672,-0.052089345,-0.000273961,0.006347060,-0.000467703,9.985693932
100001470000000,-0.005695989,-0.052693725,-0.000273065,0.006434798,-0.000423603,9.984745979
100001480000000,-0.005609487,-0.053310119,-0.000270664,0.006519139,-0.000382222,9.983753204
100001490000000,-0.005509076,-0.053936765,-0.000267706,0.006599426,-0.000343643,9.982715607
100001500000000,-0.005396443,-0.054572079,-0.000262946,0.006691754,-0.000307865,9.981630325
100001510000000,-0.005273249,-0.055212814,-0.000257345,0.006762803,-0.000273563,9.980496407
100001520000000,-0.005141049,-0.055857945,-0.000251591,0.006831646,-0.000242069,9.979310989
100001530000000,-0.005001468,-0.056506634,-0.000245321,0.006898969,-0.000212662,9.978082657
100001540000000,-0.004855908,-0.057158224,-0.000238518,0.006964594,-0.000185385,9.976808548
100001550000000,-0.004705694,-0.057811830,-0.000231318,0.007043064,-0.000161536,9.975487709
100001560000000,-0.004551903,-0.058464710,-0.000223710,0.007101864,-0.000138626,9.974121094
100001570000000,-0.004395753,-0.059116762,-0.000215899,0.007159919,-0.000117905,9.972712517
100001580000000,-0.004238314,-0.059767693,-0.000207607,0.007216692,-0.000098735,9.971259117
100001590000000,-0.004080651,-0.060417131,-0.000198856,0.007288516,-0.000083119,9.969762802
100001600000000,-0.003923360,-0.061062556,-0.000190595,0.007340193,-0.000068635,9.968220711
100001610000000,-0.003767208,-0.061703984,-0.000182051,0.007391006,-0.000054657,9.966642380
100001620000000,-0.003612911,-0.062341206,-0.000173204,0.007442176,-0.000042565,9.965024948
100001630000000,-0.003461127,-0.062974252,-0.000164567,0.007507116,-0.000033364,9.963370323
100001640000000,-0.003312288,-0.063600458,-0.000156490,0.007552803,-0.000024907,9.961664200
100001650000000,-0.003166790,-0.064220175,-0.000148330,0.007598370,-0.000016719,9.959932327
100001660000000,-0.003025059,-0.064833038,-0.000140945,0.007643729,-0.000010915,9.958153725
100001670000000,-0.002887490,-0.065439209,-0.000133857,0.007688254,-0.000005707,9.956339836
100001680000000,-0.002754286,-0.066038132,-0.000126802,0.007732838,-0.000001192,9.954488754
100001690000000,-0.002625619,-0.066629849,-0.000119510,0.007776052,0.000002749,9.952610016
100001700000000,-0.002501585,-0.067213707,-0.000113034,0.007804364,0.000005312,9.950687408
100001710000000,-0.002382453,-0.067791805,-0.000106943,0.007851034,0.000007197,9.948741913
100001720000000,-0.002268298,-0.068363301,-0.000101102,0.007895857,0.000008374,9.946758270
100001730000000,-0.002159239,-0.068927810,-0.000095405,0.007940233,0.000008427,9.944750786
100001740000000,-0.002054949,-0.069484323,-0.000089860,0.007981718,0.000009380,9.942710876
100001750000000,-0.001955671,-0.070032388,-0.000084503,0.008007824,0.000009440,9.940632820
100001760000000,-0.001861060,-0.070573486,-0.000079458,0.008051783,0.000008866,9.938529968
100001770000000,-0.001771154,-0.071106374,-0.000074475,0.008077830,0.000008643,9.936396599
100001780000000,-0.001685910,-0.071632400,-0.000069918,0.008121997,0.000007309,9.934240341
100001790000000,-0.001605132,-0.072150283,-0.000065539,0.008148462,0.000006482,9.932055473
100001800000000,-0.001528618,-0.072661109,-0.000061378,0.008191168,0.000005059,9.929842949
100001810000000,-0.001456354,-0.073163539,-0.000057140,0.008217603,0.000003822,9.927603722
100001820000000,-0.001387998,-0.073658057,-0.000053589,0.008244336,0.000002377,9.925349236
100001830000000,-0.001323561,-0.074145466,-0.000050071,0.008287191,0.000000820,9.923067093
100001840000000,-0.001262807,-0.074624322,-0.000046268,0.008312494,-0.000000499,9.920755386
100001850000000,-0.001205536,-0.075094640,-0.000042563,0.008337975,-0.000001438,9.918431282
100001860000000,-0.001151515,-0.075556874,-0.000039426,0.008364111,-0.000003204,9.916081429
100001870000000,-0.001100585,-0.076011449,-0.000036184,0.008390993,-0.000004075,9.913715363
100001880000000,-0.001052428,-0.076457977,-0.000033548,0.008417219,-0.000005446,9.911326408
100001890000000,-0.001006833,-0.076896653,-0.000031160,0.008443803,-0.000006013,9.908923149
100001900000000,-0.000963747,-0.077327192,-0.000028986,0.008469820,-0.000007197,9.906499863
100001910000000,-0.000923310,-0.077749439,-0.000026662,0.008495033,-0.000008203,9.904060364
100001920000000,-0.000884930,-0.078162849,-0.000024665,0.008504853,-0.000008877,9.901600838
100001930000000,-0.000848678,-0.078569002,-0.000022664,0.008532211,-0.000009302,9.899130821
100001940000000,-0.000814252,-0.078967184,-0.000020551,0.008558705,-0.000009760,9.896654129
100001950000000,-0.000781614,-0.079356901,-0.000018939,0.008568853,-0.000010207,9.894153595
100001960000000,-0.000750563,-0.079739176,-0.000016966,0.008596271,-0.000010189,9.891636848
100001970000000,-0.000720874,-0.080112644,-0.000015500,0.008605644,-0.000010259,9.889118195
100001980000000,-0.000692616,-0.080478624,-0.000014389,0.008632839,-0.000010829,9.886590958
100001990000000,-0.000665605,-0.080835506,-0.000013355,0.008641616,-0.000010621,9.884044647
100002000000000,-0.000639813,-0.081184402,-0.000012061,0.008652508,-0.000010252,9.881486893
100002010000000,-0.000614993,-0.081525564,-0.000011327,0.008679301,-0.000010069,9.878917694
100002020000000,-0.000591006,-0.081857227,-0.000010217,0.008687407,-0.000009034,9.876352310
100002030000000,-0.000567777,-0.082179770,-0.000009161,0.008695945,-0.000008326,9.873770714
100002040000000,-0.000545355,-0.082493551,-0.000008213,0.008705735,-0.000007976,9.871182442
100002050000000,-0.000523415,-0.082798608,-0.000007581,0.008715391,-0.000006765,9.868592262
100002060000000,-0.000502107,-0.083094947,-0.000006532,0.008724988,-0.000005729,9.865993500
100002070000000,-0.000481291,-0.083382189,-0.000006005,0.008733600,-0.000005111,9.863388062
100002080000000,-0.000461060,-0.083660044,-0.000005484,0.008742251,-0.000004392,9.860786438
100002090000000,-0.000441247,-0.083928190,-0.000004968,0.008749470,-0.000003247,9.858173370
100002100000000,-0.000422249,-0.084186301,-0.000004049,0.008742049,-0.000002649,9.855557442
100002110000000,-0.000403433,-0.084435321,-0.000003245,0.008750461,-0.000001051,9.852934837
100002120000000,-0.000385060,-0.084674351,-0.000003072,0.008757956,-0.000000842,9.850317955
100002130000000,-0.000367129,-0.084902771,-0.000002781,0.008748703,0.000000326,9.847697258
100002140000000,-0.000349426,-0.085120983,-0.000002133,0.008755177,0.000001835,9.845077515
100002150000000,-0.000332126,-0.085328117,-0.000001792,0.008745641,0.000002438,9.842453957
100002160000000,-0.000315164,-0.085525028,-0.000001430,0.008737121,0.000003443,9.839831352
100002170000000,-0.000298262,-0.085711896,-0.000000847,0.008744195,0.000005055,9.837211609
100002180000000,-0.000281736,-0.085887395,-0.000000087,0.008733686,0.000006064,9.834595680
100002190000000,-0.000265466,-0.086051635,0.000001168,0.008723609,0.000007623,9.831979752
100002200000000,-0.000249493,-0.086204864,0.000001516,0.008713774,0.000007764,9.829367638
100002210000000,-0.000233869,-0.086347200,0.000002500,0.008704174,0.000009213,9.826754570
100002220000000,-0.000218605,-0.086478293,0.000002836,0.008694130,0.000009435,9.824151039
100002230000000,-0.000203461,-0.086597629,0.000003627,0.008682869,0.000010886,9.821543694
100002240000000,-0.000188690,-0.086705044,0.000004078,0.008656760,0.000011579,9.818947792
100002250000000,-0.000174296,-0.086802192,0.000004337,0.008648492,0.000011963,9.816354752
100002260000000,-0.000160240,-0.086887941,0.000004003,0.008637979,0.000012157,9.813764572
100002270000000,-0.000146617,-0.086961485,0.000003695,0.008611243,0.000012734,9.811181068
100002280000000,-0.000133198,-0.087023437,0.000003345,0.008586252,0.000013561,9.808610916
100002290000000,-0.000120234,-0.087075338,0.000003025,0.008578196,0.000014057,9.806047440
100002300000000,-0.000107764,-0.087115608,0.000003403,0.008552656,0.000014658,9.803487778
100002310000000,-0.000095781,-0.087144464,0.000003547,0.008527871,0.000014799,9.800933838
100002320000000,-0.000084019,-0.087162331,0.000003469,0.008503404,0.000015235,9.798390388
100002330000000,-0.000072701,-0.087169677,0.000002714,0.008480288,0.000014853,9.795854568
100002340000000,-0.000061885,-0.087166011,0.000002776,0.008456178,0.000015691,9.793328285
100002350000000,-0.000051486,-0.087151758,0.000002545,0.008432724,0.000015674,9.790813446
100002360000000,-0.000041337,-0.087126039,0.000001990,0.008407593,0.000015847,9.788311005
100002370000000,-0.000031630,-0.087088600,0.000001737,0.008382156,0.000016071,9.785812378
100002380000000,-0.000022236,-0.087038651,0.000002170,0.008354932,0.000016816,9.783324242
100002390000000,-0.000013324,-0.086975425,0.000002622,0.008311875,0.000016786,9.780853271
100002400000000,-0.000004757,-0.086900622,0.000002498,0.008286729,0.000016544,9.778388977
100002410000000,0.000003262,-0.086813137,0.000002209,0.008244783,0.000016216,9.775934219
100002420000000,0.000010885,-0.086713687,0.000002408,0.008204162,0.000016578,9.773500443
100002430000000,0.000018115,-0.086603157,0.000001844,0.008179963,0.000015803,9.771067619
100002440000000,0.000024800,-0.086479627,0.000001619,0.008137673,0.000015650,9.768656731
100002450000000,0.000031402,-0.086343914,0.000001067,0.008096442,0.000015650,9.766257286
100002460000000,0.000037292,-0.086196102,0.000001180,0.008055836,0.000015292,9.763864517
100002470000000,0.000042655,-0.086036362,0.000000909,0.008015811,0.000014625,9.761495590
100002480000000,0.000047722,-0.085864455,0.000000888,0.007975057,0.000014715,9.759131432
100002490000000,0.000052859,-0.085679710,0.000001002,0.007918358,0.000015359,9.756785393
100002500000000,0.000057330,-0.085484415,0.000001652,0.007881060,0.000014894,9.754457474
100002510000000,0.000061586,-0.085277684,0.000001926,0.007841915,0.000014793,9.752136230
100002520000000,0.000065291,-0.085058525,0.000001964,0.007786155,0.000013854,9.749835014
100002530000000,0.000068820,-0.084828198,0.000002162,0.007747754,0.000013944,9.747547150
100002540000000,0.000071814,-0.084585629,0.000002289,0.007692486,0.000013195,9.745272636
100002550000000,0.000074723,-0.084331468,0.000001642,0.007638395,0.000012547,9.743017197
100002560000000,0.000077305,-0.084066644,0.000000941,0.007601053,0.000012055,9.740777016
100002570000000,0.000079754,-0.083788946,0.000000285,0.007544756,0.000012062,9.738553047
100002580000000,0.000081903,-0.083499201,0.000000137,0.007489979,0.000011973,9.736344337
100002590000000,0.000083956,-0.083197080,-0.000000283,0.007434577,0.000011660,9.734149933
100002600000000,0.000085845,-0.082882889,-0.000000474,0.007379591,0.000012062,9.731975555
100002610000000,0.000087234,-0.082556576,-0.000000541,0.007325172,0.000010952,9.729821205
100002620000000,0.000088505,-0.082217291,0.000000023,0.007254571,0.000011295,9.727677345
100002630000000,0.000089707,-0.081867374,0.000000088,0.007202625,0.000011079,9.725556374
100002640000000,0.000090447,-0.081505589,0.000000199,0.007148325,0.000010036,9.723448753
