#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000440000000,0.459082,-0.003150,0.002390,0.999550,-0.004348,-0.028248,-0.009153,1.127066,-0.020903,0.015924
100000450000000,0.470380,-0.003363,0.002553,0.999530,-0.004420,-0.028798,-0.009503,1.132621,-0.021810,0.016622
100000460000000,0.481735,-0.003586,0.002722,0.999511,-0.004490,-0.029343,-0.009857,1.138282,-0.022734,0.017332
100000470000000,0.493146,-0.003818,0.002899,0.999491,-0.004560,-0.029885,-0.010213,1.144048,-0.023674,0.018056
100000480000000,0.504616,-0.004060,0.003083,0.999470,-0.004628,-0.030422,-0.010572,1.149919,-0.024631,0.018793
100000490000000,0.516145,-0.004311,0.003275,0.999450,-0.004695,-0.030956,-0.010933,1.155892,-0.025604,0.019543
100000500000000,0.527734,-0.004572,0.003474,0.999429,-0.004761,-0.031486,-0.011297,1.161969,-0.026594,0.020306
100000510000000,0.539385,-0.004843,0.003681,0.999408,-0.004826,-0.032011,-0.011662,1.168147,-0.027599,0.021082
100000520000000,0.551098,-0.005124,0.003896,0.999386,-0.004889,-0.032533,-0.012029,1.174426,-0.028621,0.021871
100000530000000,0.562874,-0.005415,0.004119,0.999364,-0.004952,-0.033051,-0.012398,1.180806,-0.029658,0.022672
100000540000000,0.574714,-0.005717,0.004350,0.999342,-0.005013,-0.033564,-0.012768,1.187285,-0.030711,0.023486
100000550000000,0.586620,-0.006030,0.004589,0.999320,-0.005073,-0.034074,-0.013140,1.193863,-0.031779,0.024313
100000560000000,0.598592,-0.006353,0.004836,0.999297,-0.005132,-0.034580,-0.013513,1.200538,-0.032862,0.025151
100000570000000,0.610631,-0.006687,0.005092,0.999275,-0.005190,-0.035081,-0.013887,1.207311,-0.033961,0.026003
100000580000000,0.622738,-0.007032,0.005356,0.999251,-0.005247,-0.035579,-0.014261,1.214180,-0.035075,0.026866
100000590000000,0.634915,-0.007388,0.005629,0.999228,-0.005303,-0.036073,-0.014636,1.221145,-0.036203,0.027741
100000600000000,0.647161,-0.007756,0.005911,0.999204,-0.005357,-0.036563,-0.015012,1.228204,-0.037346,0.028629
100000610000000,0.659479,-0.008135,0.006202,0.999180,-0.005411,-0.037049,-0.015388,1.235357,-0.038504,0.029528
100000620000000,0.671869,-0.008526,0.006501,0.999156,-0.005463,-0.037531,-0.015764,1.242604,-0.039676,0.030439
100000630000000,0.684332,-0.008929,0.006810,0.999132,-0.005515,-0.038009,-0.016141,1.249943,-0.040863,0.031362
100000640000000,0.696868,-0.009344,0.007129,0.999107,-0.005565,-0.038483,-0.016517,1.257373,-0.042064,0.032296
100000650000000,0.709479,-0.009770,0.007456,0.999083,-0.005615,-0.038953,-0.016893,1.264894,-0.043278,0.033242
100000660000000,0.722166,-0.010209,0.007794,0.999057,-0.005663,-0.039419,-0.017269,1.272506,-0.044507,0.034200
100000670000000,0.734930,-0.010660,0.008140,0.999032,-0.005711,-0.039882,-0.017645,1.280206,-0.045749,0.035169
100000680000000,0.747771,-0.011124,0.008497,0.999007,-0.005757,-0.040340,-0.018020,1.287996,-0.047005,0.036149
100000690000000,0.760690,-0.011601,0.008863,0.998981,-0.005802,-0.040795,-0.018394,1.295873,-0.048274,0.037140
100000700000000,0.773688,-0.012090,0.009240,0.998956,-0.005847,-0.041245,-0.018768,1.303837,-0.049556,0.038142
100000710000000,0.786767,-0.012592,0.009626,0.998930,-0.005890,-0.041692,-0.019140,1.311887,-0.050852,0.039155
100000720000000,0.799926,-0.013107,0.010023,0.998904,-0.005933,-0.042135,-0.019512,1.320023,-0.052160,0.040179
100000730000000,0.813168,-0.013635,0.010430,0.998878,-0.005975,-0.042574,-0.019883,1.328243,-0.053481,0.041214
100000740000000,0.826492,-0.014176,0.010847,0.998851,-0.006015,-0.043009,-0.020253,1.336548,-0.054816,0.042260
100000750000000,0.839899,-0.014731,0.011275,0.998825,-0.006055,-0.043440,-0.020621,1.344936,-0.056162,0.043316
100000760000000,0.853391,-0.015300,0.011714,0.998798,-0.006094,-0.043868,-0.020988,1.353406,-0.057521,0.044383
100000770000000,0.866967,-0.015882,0.012163,0.998772,-0.006132,-0.044291,-0.021354,1.361958,-0.058892,0.045460
100000780000000,0.880630,-0.016478,0.012623,0.998745,-0.006169,-0.044711,-0.021718,1.370590,-0.060276,0.046547
