#timestamp [ns],w_RS_S_x [rad s^-1],w_RS_S_y [rad s^-1],w_RS_S_z [rad s^-1],a_RS_S_x [m s^-2],a_RS_S_y [m s^-2],a_RS_S_z [m s^-2]
100000650000000,-0.011209761,-0.093884154,-0.075392940,-0.004564320,0.000545406,-9.745225537
100000660000000,-0.011018374,-0.093099936,-0.075339258,-0.004533695,0.000535880,-9.744802617
100000670000000,-0.010828546,-0.092316250,-0.075261560,-0.004493919,0.000526562,-9.744390860
100000680000000,-0.010640188,-0.091534225,-0.075160793,-0.004456428,0.000517324,-9.743991142
100000690000000,-0.010453346,-0.090753594,-0.075037529,-0.004416258,0.000508318,-9.743601914
100000700000000,-0.010268189,-0.089974821,-0.074892687,-0.004375884,0.000499289,-9.743224282
100000710000000,-0.010084629,-0.089197535,-0.074726964,-0.004337905,0.000490494,-9.742857666
100000720000000,-0.009902604,-0.088421679,-0.074541708,-0.004298321,0.000481559,-9.742500782
100000730000000,-0.009722226,-0.087646249,-0.074337037,-0.004263653,0.000472788,-9.742155471
100000740000000,-0.009543404,-0.086872601,-0.074113980,-0.004223938,0.000464024,-9.741819412
100000750000000,-0.009366184,-0.086100491,-0.073873105,-0.004188042,0.000455030,-9.741493580
100000760000000,-0.009190606,-0.085329508,-0.073615411,-0.004154876,0.000446277,-9.741177406
100000770000000,-0.009016791,-0.084559815,-0.073340746,-0.004116535,0.000437995,-9.740870757
100000780000000,-0.008844588,-0.083791365,-0.073050575,-0.004073027,0.000429861,-9.740574742
100000790000000,-0.008673954,-0.083024616,-0.072745148,-0.004030395,0.000421965,-9.740287274
100000800000000,-0.008504884,-0.082259524,-0.072425792,-0.003996672,0.000413622,-9.740008303
100000810000000,-0.008337409,-0.081495484,-0.072093130,-0.003962127,0.000405261,-9.739737423
100000820000000,-0.008171751,-0.080732853,-0.071747214,-0.003927821,0.000396943,-9.739476177
100000830000000,-0.008007753,-0.079971413,-0.071388604,-0.003891841,0.000388978,-9.739222719
100000840000000,-0.007845326,-0.079211592,-0.071018195,-0.003855055,0.000381008,-9.738978382
100000850000000,-0.007684632,-0.078453351,-0.070636380,-0.003812831,0.000373162,-9.738742337
100000860000000,-0.007525499,-0.077696268,-0.070243829,-0.003771917,0.000365709,-9.738512965
100000870000000,-0.007367882,-0.076940581,-0.069841755,-0.003738723,0.000357805,-9.738291737
100000880000000,-0.007212037,-0.076186497,-0.069430189,-0.003708309,0.000350008,-9.738077529
100000890000000,-0.007057809,-0.075433681,-0.069009063,-0.003671730,0.000342700,-9.737871045
100000900000000,-0.006905194,-0.074683030,-0.068579076,-0.003629861,0.000335425,-9.737671442
100000910000000,-0.006754175,-0.073934320,-0.068141035,-0.003592012,0.000328141,-9.737478998
100000920000000,-0.006604818,-0.073186748,-0.067695749,-0.003556189,0.000320805,-9.737293550
100000930000000,-0.006457134,-0.072439858,-0.067243374,-0.003517173,0.000313555,-9.737115388
100000940000000,-0.006310854,-0.071694585,-0.066784331,-0.003483553,0.000306413,-9.736942540
100000950000000,-0.006166191,-0.070950305,-0.066318941,-0.003450623,0.000299580,-9.736776249
100000960000000,-0.006023006,-0.070208875,-0.065848021,-0.003415897,0.000292384,-9.736615290
100000970000000,-0.005881535,-0.069469482,-0.065371444,-0.003375500,0.000285792,-9.736462127
100000980000000,-0.005741649,-0.068731516,-0.064889971,-0.003339720,0.000278674,-9.736313134
100000990000000,-0.005603278,-0.067994899,-0.064404037,-0.003304941,0.000271833,-9.736170586
100001000000000,-0.005466471,-0.067259621,-0.063913898,-0.003270737,0.000265199,-9.736033481
100001010000000,-0.005331171,-0.066525602,-0.063419410,-0.003230202,0.000259011,-9.735902376
100001020000000,-0.005197179,-0.065793463,-0.062921760,-0.003192425,0.000252574,-9.735775423
100001030000000,-0.005064834,-0.065063078,-0.062421347,-0.003160059,0.000245767,-9.735654006
