#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000460000000,0.035861,0.025223,0.476471,0.962007,-0.023285,0.095855,0.254581,0.321266,0.183393,0.045427
100000470000000,0.039189,0.027120,0.476922,0.961944,-0.023550,0.097413,0.254204,0.338695,0.192847,0.046362
100000480000000,0.042699,0.029115,0.477383,0.961883,-0.023796,0.098840,0.253861,0.356397,0.202416,0.047139
100000490000000,0.046393,0.031210,0.477850,0.961825,-0.024023,0.100138,0.253550,0.374347,0.212089,0.047763
100000500000000,0.050274,0.033404,0.478324,0.961771,-0.024234,0.101308,0.253272,0.392521,0.221858,0.048241
100000510000000,0.054343,0.035700,0.478802,0.961720,-0.024428,0.102349,0.253025,0.410893,0.231712,0.048581
100000520000000,0.058603,0.038097,0.479283,0.961675,-0.024605,0.103265,0.252809,0.429442,0.241642,0.048788
100000530000000,0.063054,0.040596,0.479766,0.961635,-0.024766,0.104057,0.252621,0.448142,0.251640,0.048871
100000540000000,0.067699,0.043198,0.480249,0.961601,-0.024912,0.104728,0.252459,0.466971,0.261696,0.048836
100000550000000,0.072537,0.045904,0.480732,0.961573,-0.025043,0.105280,0.252322,0.485906,0.271803,0.048690
100000560000000,0.077570,0.048713,0.481213,0.961552,-0.025159,0.105717,0.252207,0.504927,0.281952,0.048440
100000570000000,0.082799,0.051625,0.481692,0.961539,-0.025260,0.106041,0.252112,0.524010,0.292135,0.048094
100000580000000,0.088222,0.054642,0.482167,0.961532,-0.025347,0.106257,0.252036,0.543137,0.302343,0.047660
100000590000000,0.093842,0.057763,0.482638,0.961534,-0.025420,0.106368,0.251977,0.562287,0.312570,0.047143
100000600000000,0.099657,0.060988,0.483103,0.961543,-0.025478,0.106378,0.251932,0.581441,0.322809,0.046551
100000610000000,0.105667,0.064318,0.483562,0.961560,-0.025523,0.106291,0.251899,0.600582,0.333051,0.045891
100000620000000,0.111872,0.067751,0.484015,0.961585,-0.025554,0.106111,0.251878,0.619691,0.343289,0.045169
100000630000000,0.118270,0.071288,0.484461,0.961617,-0.025571,0.105842,0.251866,0.638752,0.353518,0.044391
100000640000000,0.124863,0.074929,0.484899,0.961656,-0.025575,0.105487,0.251863,0.657750,0.363730,0.043563
100000650000000,0.131647,0.078674,0.485329,0.961703,-0.025565,0.105053,0.251867,0.676669,0.373919,0.042692
100000660000000,0.138623,0.082521,0.485750,0.961757,-0.025541,0.104541,0.251876,0.695496,0.384078,0.041783
100000670000000,0.145789,0.086471,0.486162,0.961818,-0.025505,0.103958,0.251891,0.714216,0.394203,0.040841
100000680000000,0.153143,0.090523,0.486566,0.961884,-0.025454,0.103306,0.251909,0.732818,0.404286,0.039870
100000690000000,0.160685,0.094677,0.486960,0.961957,-0.025391,0.102590,0.251931,0.751289,0.414322,0.038877
100000700000000,0.168412,0.098931,0.487344,0.962035,-0.025315,0.101814,0.251955,0.769619,0.424307,0.037866
100000710000000,0.176324,0.103287,0.487718,0.962118,-0.025225,0.100981,0.251982,0.787797,0.434234,0.036839
