#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000450000000,-0.013248,0.009086,0.483356,0.483566,-0.008624,0.006927,0.875238,-0.011501,0.025751,0.086056
100000460000000,-0.013355,0.009350,0.484243,0.484165,-0.009031,0.007266,0.874900,-0.012354,0.027828,0.089456
100000470000000,-0.013468,0.009638,0.485163,0.484929,-0.009439,0.007595,0.874470,-0.013244,0.030005,0.092776
100000480000000,-0.013588,0.009950,0.486115,0.485811,-0.009846,0.007911,0.873973,-0.014172,0.032279,0.096020
100000490000000,-0.013717,0.010287,0.487099,0.486768,-0.010251,0.008214,0.873432,-0.015137,0.034649,0.099190
100000500000000,-0.013855,0.010649,0.488115,0.487768,-0.010654,0.008502,0.872867,-0.016140,0.037112,0.102291
100000510000000,-0.014003,0.011038,0.489161,0.488781,-0.011053,0.008775,0.872292,-0.017183,0.039665,0.105325
100000520000000,-0.014161,0.011453,0.490237,0.489785,-0.011448,0.009032,0.871721,-0.018265,0.042305,0.108295
100000530000000,-0.014331,0.011896,0.491342,0.490761,-0.011838,0.009272,0.871165,-0.019388,0.045030,0.111206
100000540000000,-0.014514,0.012368,0.492476,0.491695,-0.012223,0.009494,0.870630,-0.020552,0.047835,0.114061
100000550000000,-0.014709,0.012868,0.493639,0.492577,-0.012600,0.009699,0.870123,-0.021757,0.050717,0.116861
100000560000000,-0.014917,0.013399,0.494829,0.493400,-0.012971,0.009886,0.869649,-0.023006,0.053673,0.119611
100000570000000,-0.015139,0.013959,0.496046,0.494160,-0.013334,0.010056,0.869211,-0.024297,0.056698,0.122314
100000580000000,-0.015375,0.014551,0.497290,0.494853,-0.013689,0.010208,0.868809,-0.025632,0.059789,0.124973
100000590000000,-0.015626,0.015175,0.498560,0.495480,-0.014034,0.010343,0.868444,-0.027010,0.062942,0.127590
100000600000000,-0.015893,0.015830,0.499857,0.496041,-0.014371,0.010461,0.868117,-0.028433,0.066153,0.130168
100000610000000,-0.016175,0.016519,0.501179,0.496538,-0.014697,0.010563,0.867826,-0.029900,0.069417,0.132711
100000620000000,-0.016473,0.017241,0.502527,0.496974,-0.015013,0.010649,0.867570,-0.031412,0.072733,0.135220
100000630000000,-0.016788,0.017996,0.503899,0.497353,-0.015318,0.010720,0.867347,-0.032968,0.076094,0.137699
100000640000000,-0.017119,0.018786,0.505297,0.497678,-0.015612,0.010777,0.867154,-0.034569,0.079499,0.140151
100000650000000,-0.017468,0.019611,0.506719,0.497954,-0.015895,0.010820,0.866990,-0.036213,0.082942,0.142577
100000660000000,-0.017835,0.020471,0.508165,0.498184,-0.016166,0.010850,0.866852,-0.037902,0.086421,0.144981
100000670000000,-0.018219,0.021366,0.509635,0.498375,-0.016425,0.010868,0.866738,-0.039633,0.089933,0.147365
100000680000000,-0.018622,0.022297,0.511129,0.498528,-0.016672,0.010875,0.866645,-0.041406,0.093473,0.149730
100000690000000,-0.019045,0.023263,0.512647,0.498650,-0.016907,0.010872,0.866570,-0.043221,0.097039,0.152080
100000700000000,-0.019486,0.024267,0.514189,0.498744,-0.017130,0.010859,0.866512,-0.045076,0.100628,0.154417
100000710000000,-0.019947,0.025306,0.515754,0.498814,-0.017341,0.010838,0.866468,-0.046971,0.104237,0.156742
100000720000000,-0.020427,0.026382,0.517342,0.498863,-0.017539,0.010809,0.866436,-0.048905,0.107863,0.159058
100000730000000,-0.020928,0.027495,0.518953,0.498894,-0.017726,0.010774,0.866415,-0.050875,0.111504,0.161367
100000740000000,-0.021450,0.028644,0.520588,0.498910,-0.017901,0.010732,0.866402,-0.052881,0.115157,0.163670
100000750000000,-0.021992,0.029831,0.522246,0.498914,-0.018063,0.010686,0.866397,-0.054922,0.118821,0.165970
100000760000000,-0.022556,0.031055,0.523927,0.498909,-0.018214,0.010635,0.866398,-0.056996,0.122492,0.168268
100000770000000,-0.023141,0.032315,0.525632,0.498895,-0.018354,0.010581,0.866403,-0.059101,0.126171,0.170567
100000780000000,-0.023748,0.033613,0.527359,0.498876,-0.018483,0.010524,0.866412,-0.061236,0.129853,0.172866
100000790000000,-0.024377,0.034948,0.529110,0.498853,-0.018601,0.010464,0.866424,-0.063399,0.133539,0.175169
100000800000000,-0.025029,0.036320,0.530884,0.498827,-0.018709,0.010403,0.866437,-0.065589,0.137227,0.177477
100000810000000,-0.025702,0.037729,0.532681,0.498799,-0.018806,0.010341,0.866452,-0.067805,0.140914,0.179790
100000820000000,-0.026399,0.039175,0.534501,0.498769,-0.018893,0.010279,0.866468,-0.070043,0.144601,0.182111
100000830000000,-0.027118,0.040658,0.536345,0.498740,-0.018971,0.010217,0.866484,-0.072304,0.148286,0.184440
100000840000000,-0.027861,0.042179,0.538213,0.498711,-0.019040,0.010155,0.866499,-0.074584,0.151969,0.186779
100000850000000,-0.028627,0.043736,0.540104,0.498684,-0.019100,0.010094,0.866515,-0.076883,0.155647,0.189130
100000860000000,-0.029416,0.045330,0.542018,0.498657,-0.019151,0.010035,0.866530,-0.079199,0.159322,0.191492
100000870000000,-0.030229,0.046961,0.543957,0.498632,-0.019195,0.009977,0.866544,-0.081531,0.162992,0.193867
100000880000000,-0.031066,0.048628,0.545919,0.498609,-0.019230,0.009922,0.866557,-0.083876,0.166656,0.196257
100000890000000,-0.031927,0.050332,0.547906,0.498588,-0.019259,0.009869,0.866569,-0.086233,0.170315,0.198661
100000900000000,-0.032811,0.052073,0.549917,0.498569,-0.019281,0.009818,0.866580,-0.088602,0.173969,0.201081
100000910000000,-0.033720,0.053851,0.551952,0.498552,-0.019297,0.009769,0.866590,-0.090979,0.177616,0.203517
100000920000000,-0.034652,0.055664,0.554012,0.498537,-0.019306,0.009724,0.866599,-0.093365,0.181256,0.205970
100000930000000,-0.035609,0.057515,0.556097,0.498523,-0.019310,0.009681,0.866607,-0.095757,0.184891,0.208442
100000940000000,-0.036590,0.059401,0.558206,0.498511,-0.019309,0.009642,0.866615,-0.098155,0.188519,0.210931
100000950000000,-0.037595,0.061324,0.560341,0.498501,-0.019303,0.009605,0.866621,-0.100557,0.192140,0.213440
100000960000000,-0.038625,0.063283,0.562501,0.498493,-0.019292,0.009572,0.866626,-0.102962,0.195755,0.215968
100000970000000,-0.039679,0.065278,0.564687,0.498485,-0.019278,0.009542,0.866631,-0.105370,0.199364,0.218516
100000980000000,-0.040757,0.067309,0.566898,0.498479,-0.019259,0.009515,0.866635,-0.107778,0.202968,0.221085
100000990000000,-0.041859,0.069375,0.569135,0.498474,-0.019237,0.009491,0.866639,-0.110186,0.206565,0.223674
100001000000000,-0.042985,0.071478,0.571398,0.498470,-0.019212,0.009470,0.866642,-0.112593,0.210156,0.226284
100001010000000,-0.044136,0.073617,0.573688,0.498468,-0.019184,0.009452,0.866645,-0.114999,0.213742,0.228915
100001020000000,-0.045311,0.075791,0.576004,0.498465,-0.019154,0.009436,0.866647,-0.117402,0.217323,0.231567
100001030000000,-0.046510,0.078001,0.578347,0.498464,-0.019121,0.009424,0.866648,-0.119802,0.220899,0.234241
100001040000000,-0.047733,0.080247,0.580717,0.498463,-0.019087,0.009413,0.866650,-0.122198,0.224470,0.236937
100001050000000,-0.048980,0.082528,0.583114,0.498462,-0.019050,0.009406,0.866651,-0.124589,0.228037,0.239655
100001060000000,-0.050251,0.084845,0.585539,0.498462,-0.019012,0.009400,0.866652,-0.126975,0.231599,0.242394
100001070000000,-0.051546,0.087198,0.587991,0.498462,-0.018973,0.009397,0.866653,-0.129356,0.235157,0.245155
100001080000000,-0.052864,0.089586,0.590471,0.498462,-0.018932,0.009396,0.866654,-0.131731,0.238712,0.247938
100001090000000,-0.054207,0.092009,0.592978,0.498463,-0.018890,0.009397,0.866654,-0.134099,0.242263,0.250743
100001100000000,-0.055573,0.094468,0.595515,0.498463,-0.018848,0.009400,0.866655,-0.136460,0.245811,0.253569
100001110000000,-0.056963,0.096962,0.598079,0.498464,-0.018804,0.009404,0.866655,-0.138814,0.249355,0.256417
100001120000000,-0.058376,0.099492,0.600673,0.498465,-0.018761,0.009410,0.866656,-0.141160,0.252897,0.259287
100001130000000,-0.059813,0.102057,0.603295,0.498466,-0.018717,0.009417,0.866656,-0.143499,0.256436,0.262177
100001140000000,-0.061273,0.104657,0.605946,0.498466,-0.018673,0.009425,0.866657,-0.145830,0.259973,0.265089
100001150000000,-0.062756,0.107293,0.608627,0.498467,-0.018629,0.009435,0.866657,-0.148153,0.263507,0.268022
100001160000000,-0.064262,0.109964,0.611337,0.498468,-0.018585,0.009445,0.866657,-0.150467,0.267040,0.270975
100001170000000,-0.065792,0.112670,0.614077,0.498469,-0.018540,0.009456,0.866658,-0.152773,0.270570,0.273948
100001180000000,-0.067344,0.115412,0.616847,0.498470,-0.018496,0.009468,0.866658,-0.155071,0.274099,0.276941
100001190000000,-0.068920,0.118188,0.619647,0.498470,-0.018452,0.009480,0.866659,-0.157360,0.277626,0.279954
100001200000000,-0.070518,0.121000,0.622477,0.498471,-0.018409,0.009493,0.866659,-0.159641,0.281151,0.282986
100001210000000,-0.072139,0.123848,0.625338,0.498472,-0.018366,0.009506,0.866659,-0.161913,0.284675,0.286037
