#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
0.220000,0.001638,-0.000932,0.000360,0.502464,-0.011468,-0.000081,-0.864522,0.022082,-0.012583,0.004861
0.225000,0.001751,-0.000996,0.000385,0.502436,-0.011710,-0.000081,-0.864535,0.023074,-0.013150,0.005079
0.230000,0.001868,-0.001063,0.000411,0.502408,-0.011951,-0.000081,-0.864548,0.024086,-0.013729,0.005302
0.235000,0.001991,-0.001133,0.000438,0.502380,-0.012192,-0.000081,-0.864561,0.025119,-0.014320,0.005529
0.240000,0.002120,-0.001206,0.000467,0.502351,-0.012431,-0.000081,-0.864574,0.026172,-0.014923,0.005761
0.245000,0.002253,-0.001282,0.000496,0.502323,-0.012670,-0.000081,-0.864587,0.027246,-0.015538,0.005998
0.250000,0.002392,-0.001362,0.000527,0.502295,-0.012907,-0.000080,-0.864600,0.028341,-0.016164,0.006238
0.255000,0.002537,-0.001444,0.000558,0.502266,-0.013145,-0.000080,-0.864613,0.029455,-0.016803,0.006484
0.260000,0.002687,-0.001530,0.000591,0.502238,-0.013381,-0.000080,-0.864626,0.030590,-0.017453,0.006734
0.265000,0.002843,-0.001619,0.000626,0.502209,-0.013616,-0.000079,-0.864639,0.031745,-0.018115,0.006988
0.270000,0.003004,-0.001711,0.000661,0.502181,-0.013851,-0.000079,-0.864652,0.032921,-0.018789,0.007247
0.275000,0.003172,-0.001807,0.000698,0.502152,-0.014085,-0.000078,-0.864664,0.034116,-0.019474,0.007510
0.280000,0.003345,-0.001906,0.000736,0.502124,-0.014318,-0.000077,-0.864677,0.035332,-0.020171,0.007777
0.285000,0.003525,-0.002008,0.000776,0.502095,-0.014550,-0.000077,-0.864690,0.036567,-0.020880,0.008049
0.290000,0.003711,-0.002115,0.000817,0.502067,-0.014781,-0.000076,-0.864703,0.037823,-0.021600,0.008326
0.295000,0.003903,-0.002224,0.000859,0.502038,-0.015012,-0.000075,-0.864715,0.039098,-0.022332,0.008606
0.300000,0.004102,-0.002338,0.000903,0.502010,-0.015242,-0.000074,-0.864728,0.040393,-0.023075,0.008892
