#timestamp, p_RS_R_x [m], p_RS_R_y [m], p_RS_R_z [m], q_RS_w [], q_RS_x [], q_RS_y [], q_RS_z [], v_RS_R_x [m s^-1], v_RS_R_y [m s^-1], v_RS_R_z [m s^-1]
100000450000000,0.010146,0.009683,0.475201,0.966751,-0.007604,0.033881,0.253350,0.103499,0.053934,0.036964
100000460000000,0.011214,0.010232,0.475572,0.966818,-0.007808,0.034705,0.252977,0.109642,0.057110,0.038266
100000470000000,0.012347,0.010815,0.475956,0.966877,-0.008011,0.035497,0.252635,0.115929,0.060360,0.039449
100000480000000,0.013544,0.011432,0.476351,0.966929,-0.008212,0.036257,0.252322,0.122351,0.063684,0.040515
100000490000000,0.014809,0.012084,0.476756,0.966973,-0.008412,0.036984,0.252041,0.128904,0.067078,0.041470
100000500000000,0.016141,0.012771,0.477170,0.967010,-0.008609,0.037678,0.251789,0.135581,0.070542,0.042316
100000510000000,0.017542,0.013494,0.477592,0.967040,-0.008804,0.038339,0.251566,0.142375,0.074074,0.043059
100000520000000,0.019013,0.014254,0.478020,0.967064,-0.008996,0.038967,0.251370,0.149281,0.077671,0.043702
100000530000000,0.020555,0.015052,0.478455,0.967083,-0.009186,0.039563,0.251201,0.156292,0.081332,0.044249
100000540000000,0.022169,0.015887,0.478894,0.967095,-0.009373,0.040127,0.251055,0.163402,0.085054,0.044704
100000550000000,0.023857,0.016761,0.479338,0.967104,-0.009556,0.040659,0.250931,0.170605,0.088835,0.045071
100000560000000,0.025618,0.017675,0.479785,0.967108,-0.009736,0.041161,0.250826,0.177896,0.092675,0.045354
100000570000000,0.027455,0.018627,0.480234,0.967108,-0.009913,0.041632,0.250740,0.185268,0.096570,0.045557
100000580000000,0.029366,0.019620,0.480685,0.967105,-0.010085,0.042075,0.250670,0.192717,0.100518,0.045682
100000590000000,0.031354,0.020654,0.481137,0.967100,-0.010253,0.042489,0.250614,0.200237,0.104518,0.045735
100000600000000,0.033419,0.021728,0.481589,0.967093,-0.010417,0.042875,0.250570,0.207822,0.108567,0.045718
100000610000000,0.035561,0.022845,0.482040,0.967083,-0.010576,0.043234,0.250536,0.215468,0.112664,0.045635
100000620000000,0.037781,0.024003,0.482491,0.967073,-0.010730,0.043568,0.250512,0.223171,0.116806,0.045490
100000630000000,0.040080,0.025203,0.482940,0.967062,-0.010879,0.043877,0.250496,0.230925,0.120992,0.045286
100000640000000,0.042457,0.026447,0.483386,0.967050,-0.011023,0.044163,0.250486,0.238727,0.125219,0.045026
100000650000000,0.044914,0.027734,0.483829,0.967037,-0.011162,0.044426,0.250481,0.246572,0.129485,0.044714
100000660000000,0.047450,0.029064,0.484270,0.967025,-0.011295,0.044668,0.250481,0.254457,0.133788,0.044352
100000670000000,0.050066,0.030438,0.484706,0.967012,-0.011422,0.044889,0.250483,0.262377,0.138126,0.043944
100000680000000,0.052763,0.031856,0.485138,0.967000,-0.011544,0.045091,0.250489,0.270330,0.142498,0.043493
100000690000000,0.055540,0.033318,0.485566,0.966988,-0.011660,0.045274,0.250496,0.278312,0.146901,0.043002
100000700000000,0.058397,0.034826,0.485988,0.966977,-0.011770,0.045439,0.250505,0.286320,0.151334,0.042473
100000710000000,0.061336,0.036378,0.486405,0.966966,-0.011874,0.045589,0.250515,0.294351,0.155794,0.041909
100000720000000,0.064355,0.037976,0.486817,0.966956,-0.011972,0.045722,0.250525,0.302403,0.160280,0.041313
100000730000000,0.067456,0.039619,0.487222,0.966946,-0.012065,0.045841,0.250535,0.310474,0.164790,0.040687
100000740000000,0.070638,0.041308,0.487621,0.966938,-0.012151,0.045947,0.250545,0.318560,0.169323,0.040034
100000750000000,0.073902,0.043043,0.488013,0.966930,-0.012232,0.046040,0.250555,0.326660,0.173876,0.039356
100000760000000,0.077247,0.044823,0.488398,0.966922,-0.012306,0.046121,0.250564,0.334771,0.178447,0.038656
100000770000000,0.080674,0.046650,0.488776,0.966916,-0.012376,0.046191,0.250573,0.342893,0.183036,0.037935
100000780000000,0.084182,0.048524,0.489147,0.966910,-0.012439,0.046250,0.250581,0.351023,0.187641,0.037196
100000790000000,0.087772,0.050444,0.489511,0.966905,-0.012497,0.046300,0.250589,0.359160,0.192260,0.036441
100000800000000,0.091444,0.052410,0.489867,0.966901,-0.012549,0.046340,0.250596,0.367302,0.196892,0.035672
100000810000000,0.095198,0.054424,0.490216,0.966897,-0.012596,0.046373,0.250602,0.375449,0.201535,0.034890
100000820000000,0.099033,0.056484,0.490556,0.966894,-0.012638,0.046398,0.250607,0.383598,0.206189,0.034098
100000830000000,0.102950,0.058590,0.490889,0.966891,-0.012675,0.046416,0.250612,0.391750,0.210851,0.033296
100000840000000,0.106949,0.060744,0.491214,0.966889,-0.012707,0.046428,0.250616,0.399902,0.215521,0.032488
100000850000000,0.111030,0.062945,0.491530,0.966888,-0.012734,0.046433,0.250619,0.408055,0.220197,0.031673
100000860000000,0.115192,0.065193,0.491839,0.966887,-0.012757,0.046434,0.250622,0.416206,0.224878,0.030855
100000870000000,0.119436,0.067488,0.492139,0.966886,-0.012776,0.046429,0.250624,0.424357,0.229564,0.030033
100000880000000,0.123761,0.069830,0.492431,0.966886,-0.012791,0.046420,0.250627,0.432506,0.234253,0.029210
100000890000000,0.128169,0.072219,0.492715,0.966886,-0.012802,0.046407,0.250628,0.440652,0.238944,0.028387
100000900000000,0.132657,0.074656,0.492991,0.966886,-0.012809,0.046390,0.250630,0.448795,0.243637,0.027565
100000910000000,0.137227,0.077139,0.493259,0.966887,-0.012813,0.046369,0.250631,0.456935,0.248330,0.026744
100000920000000,0.141879,0.079669,0.493518,0.966887,-0.012813,0.046345,0.250632,0.465071,0.253023,0.025927
100000930000000,0.146612,0.082247,0.493770,0.966889,-0.012810,0.046318,0.250633,0.473203,0.257716,0.025114
100000940000000,0.151427,0.084872,0.494013,0.966890,-0.012804,0.046288,0.250634,0.481330,0.262406,0.024306
